,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
540,TQBR,2015-05-22,Сбербанк,SBER,82970,9612288950.2,73.31,73.06,74.67,74.35,73.91,74.35,130057270,73.91,73.91,73.91,9610542706.0,9610542706.0,9610542706.0,
541,TQBR,2015-05-25,Сбербанк,SBER,52905,4502020411.3,74.4,72.91,74.74,74.46,73.88,74.46,60933420,73.88,73.88,73.88,4501699747.3,4501699747.3,4501699747.3,
542,TQBR,2015-05-26,Сбербанк,SBER,68254,6011972846.2,74.65,73.9,75.16,74.67,74.56,74.67,80631210,74.56,74.56,74.56,6000027353.2,6000027353.2,6000027353.2,
543,TQBR,2015-05-27,Сбербанк,SBER,75289,8089769979.0,74.5,72.41,74.5,74.23,73.44,74.23,110149140,73.44,73.44,73.44,8088075849.0,8088075849.0,8088075849.0,
544,TQBR,2015-05-28,Сбербанк,SBER,65442,6185895043.3,74.0,73.32,74.97,73.6,74.06,73.6,83529650,74.06,74.06,74.06,6179288323.3,6179288323.3,6179288323.3,
545,TQBR,2015-05-29,Сбербанк,SBER,123996,10250593497.7,73.7,73.5,76.13,73.5,74.99,73.5,136698370,74.99,74.99,74.99,10246945347.7,10246945347.7,10246945347.7,
546,TQBR,2015-06-01,Сбербанк,SBER,93551,8321019554.8,73.7,72.65,74.49,72.65,73.5,72.65,113205280,73.5,73.5,73.5,8321019554.8,8321019554.8,8321019554.8,
547,TQBR,2015-06-02,Сбербанк,SBER,66811,5525454638.9,72.88,72.25,74.25,73.92,73.29,73.92,75392090,73.29,73.29,73.29,5525454638.9,5525454638.9,5525454638.9,
548,TQBR,2015-06-03,Сбербанк,SBER,96899,7798511159.9,74.19,71.6,74.35,71.72,72.74,71.72,107211510,72.74,72.74,72.74,7798511159.9,7798511159.9,7798511159.9,
549,TQBR,2015-06-04,Сбербанк,SBER,106164,7845641687.8,71.69,70.55,72.2,71.25,71.34,71.25,109970350,71.34,71.34,71.34,7845641687.8,7845641687.8,7845641687.8,
550,TQBR,2015-06-05,Сбербанк,SBER,79355,5480891746.2,71.2,70.2,71.75,70.61,70.92,70.61,77281110,70.92,70.92,70.92,5480891746.2,5480891746.2,5480891746.2,
551,TQBR,2015-06-08,Сбербанк,SBER,88323,7182758943.4,70.8,69.15,71.05,69.17,69.91,69.17,102748480,69.91,69.91,69.91,7182758943.4,7182758943.4,7182758943.4,
552,TQBR,2015-06-09,Сбербанк,SBER,86017,6851335973.1,69.26,68.41,70.35,70.21,69.38,70.21,98748730,69.38,69.38,69.38,6851335973.1,6851335973.1,6851335973.1,
553,TQBR,2015-06-10,Сбербанк,SBER,67419,6529685990.9,70.51,70.3,72.07,71.51,71.32,71.51,91552570,71.32,71.32,71.32,6529685990.9,6529685990.9,6529685990.9,
554,TQBR,2015-06-11,Сбербанк,SBER,82126,8834867546.4,71.14,70.23,72.55,72.55,71.31,72.55,123890170,71.31,71.31,71.31,8834867546.4,8834867546.4,8834867546.4,
555,TQBR,2015-06-15,Сбербанк,SBER,79451,7274644531.5,72.03,70.6,72.27,71.8,71.26,71.8,102080440,71.26,71.26,71.26,7274644531.5,7274644531.5,7274644531.5,
556,TQBR,2015-06-16,Сбербанк,SBER,88362,7779486263.0,71.56,70.96,73.8,73.5,72.32,73.5,107571400,72.32,72.32,72.32,7779486263.0,7779486263.0,7779486263.0,
557,TQBR,2015-06-17,Сбербанк,SBER,84919,6403529451.6,73.48,72.78,74.41,72.81,73.61,72.81,86995650,73.61,73.61,73.61,6403529451.6,6403529451.6,6403529451.6,
558,TQBR,2015-06-18,Сбербанк,SBER,68428,6720787262.8,73.2,72.6,74.37,72.98,73.53,72.98,91400010,73.53,73.53,73.53,6720787262.8,6720787262.8,6720787262.8,
559,TQBR,2015-06-19,Сбербанк,SBER,64953,6700730988.3,73.19,71.56,73.38,71.56,72.25,71.56,92741580,72.25,72.25,72.25,6700730988.3,6700730988.3,6700730988.3,
560,TQBR,2015-06-22,Сбербанк,SBER,52319,5356120485.2,72.05,71.5,72.46,72.0,72.06,72.0,74326940,72.06,72.06,72.06,5356120485.2,5356120485.2,5356120485.2,
561,TQBR,2015-06-23,Сбербанк,SBER,44599,3809342329.8,72.3,71.5,72.37,72.01,71.96,72.01,52938560,71.96,71.96,71.96,3809342329.8,3809342329.8,3809342329.8,
562,TQBR,2015-06-24,Сбербанк,SBER,42414,4060868802.4,72.1,71.35,72.5,71.98,71.93,71.98,56452820,71.93,71.93,71.93,4060868802.4,4060868802.4,4060868802.4,
563,TQBR,2015-06-25,Сбербанк,SBER,38856,3265686873.0,71.95,71.42,72.24,71.42,71.81,71.42,45477110,71.81,71.81,71.81,3265686873.0,3265686873.0,3265686873.0,
564,TQBR,2015-06-26,Сбербанк,SBER,61138,6953857936.2,71.39,70.4,71.47,70.6,70.72,70.6,98330570,70.72,70.72,70.72,6953857936.2,6953857936.2,6953857936.2,
565,TQBR,2015-06-29,Сбербанк,SBER,51818,5428842766.9,69.18,69.03,70.97,70.2,69.94,70.2,77616070,69.94,69.94,69.94,5428842766.9,5428842766.9,5428842766.9,
566,TQBR,2015-06-30,Сбербанк,SBER,67243,7106462410.9,70.2,70.05,72.5,72.35,71.44,72.35,99473820,71.44,71.44,71.44,7106462410.9,7106462410.9,7106462410.9,
567,TQBR,2015-07-01,Сбербанк,SBER,63908,7270461370.3,72.3,70.71,72.97,71.0,71.87,71.0,101154440,71.87,71.87,71.87,7270461370.3,7270461370.3,7270461370.3,
568,TQBR,2015-07-02,Сбербанк,SBER,60241,5916314910.6,71.0,70.17,71.3,70.54,70.64,70.54,83756690,70.64,70.64,70.64,5916314910.6,5916314910.6,5916314910.6,
569,TQBR,2015-07-03,Сбербанк,SBER,49362,4139718738.8,70.6,69.9,71.15,70.67,70.51,70.67,58707530,70.51,70.51,70.51,4139718738.8,4139718738.8,4139718738.8,
570,TQBR,2015-07-06,Сбербанк,SBER,81646,8574431815.2,69.93,68.08,70.59,68.45,69.39,68.45,123570110,69.39,69.39,69.39,8574431815.2,8574431815.2,8574431815.2,
571,TQBR,2015-07-07,Сбербанк,SBER,90789,7142821094.7,68.47,68.12,69.68,68.77,68.89,68.77,103684770,68.89,68.89,68.89,7142821094.7,7142821094.7,7142821094.7,
572,TQBR,2015-07-08,Сбербанк,SBER,114382,10794926015.2,68.51,66.5,68.94,67.73,67.4,67.73,160173700,67.4,67.4,67.4,10794926015.2,10794926015.2,10794926015.2,
573,TQBR,2015-07-09,Сбербанк,SBER,77467,5809055665.2,68.17,67.7,69.38,69.35,68.52,69.35,84780130,68.52,68.52,68.52,5809055665.2,5809055665.2,5809055665.2,
574,TQBR,2015-07-10,Сбербанк,SBER,103382,7681072909.1,69.6,69.57,71.2,71.06,70.61,71.06,108780680,70.61,70.61,70.61,7681072909.1,7681072909.1,7681072909.1,
575,TQBR,2015-07-13,Сбербанк,SBER,95750,16717328134.5,70.75,70.75,72.94,72.94,72.19,72.94,231581340,72.19,72.19,72.19,16717328134.5,16717328134.5,16717328134.5,
576,TQBR,2015-07-14,Сбербанк,SBER,83282,8068480978.9,72.8,72.31,73.9,73.9,73.0,73.9,110524300,73.0,73.0,73.0,8068480978.9,8068480978.9,8068480978.9,
577,TQBR,2015-07-15,Сбербанк,SBER,60562,5827909514.9,73.78,72.96,74.0,74.0,73.54,74.0,79249180,73.54,73.54,73.54,5827909514.9,5827909514.9,5827909514.9,
578,TQBR,2015-07-16,Сбербанк,SBER,43115,4202661103.4,74.0,73.53,74.39,74.21,74.0,74.21,56795770,74.0,74.0,74.0,4202661103.4,4202661103.4,4202661103.4,
579,TQBR,2015-07-17,Сбербанк,SBER,54068,6643082557.1,74.19,73.57,75.73,75.52,74.69,75.52,88937350,74.69,74.69,74.69,6643082557.1,6643082557.1,6643082557.1,
580,TQBR,2015-07-20,Сбербанк,SBER,59410,6673781777.6,75.4,73.87,75.7,74.1,74.7,74.1,89338110,74.7,74.7,74.7,6673781777.6,6673781777.6,6673781777.6,
581,TQBR,2015-07-21,Сбербанк,SBER,65020,8145142561.9,73.97,73.41,75.86,75.55,74.74,75.55,108985690,74.74,74.74,74.74,8145142561.9,8145142561.9,8145142561.9,
582,TQBR,2015-07-22,Сбербанк,SBER,66834,7479462570.2,75.22,74.5,75.97,74.6,75.22,74.6,99433200,75.22,75.22,75.22,7479462570.2,7479462570.2,7479462570.2,
583,TQBR,2015-07-23,Сбербанк,SBER,61679,6743238166.9,74.61,72.51,74.69,72.7,73.59,72.7,91626820,73.59,73.59,73.59,6743238166.9,6743238166.9,6743238166.9,
584,TQBR,2015-07-24,Сбербанк,SBER,75488,9578703187.3,72.51,70.25,72.57,70.45,71.54,70.45,133887760,71.54,71.54,71.54,9578703187.3,9578703187.3,9578703187.3,
585,TQBR,2015-07-27,Сбербанк,SBER,109251,14414520570.4,70.4,67.35,70.45,68.48,68.64,68.48,209986640,68.64,68.64,68.64,14414520570.4,14414520570.4,14414520570.4,
586,TQBR,2015-07-28,Сбербанк,SBER,96945,12573228284.5,68.21,67.4,70.73,69.55,69.37,69.55,181247650,69.37,69.37,69.37,12573228284.5,12573228284.5,12573228284.5,
587,TQBR,2015-07-29,Сбербанк,SBER,75462,8739702987.3,69.89,69.66,71.49,71.2,70.55,71.2,123880080,70.55,70.55,70.55,8739702987.3,8739702987.3,8739702987.3,
588,TQBR,2015-07-30,Сбербанк,SBER,76220,7716334933.9,71.37,70.91,72.79,72.2,72.05,72.2,107101630,72.05,72.05,72.05,7716334933.9,7716334933.9,7716334933.9,
589,TQBR,2015-07-31,Сбербанк,SBER,96303,10953582462.7,71.96,70.21,72.55,72.3,71.39,72.3,153437500,71.39,71.39,71.39,10953582462.7,10953582462.7,10953582462.7,
590,TQBR,2015-08-03,Сбербанк,SBER,81429,8354612356.3,71.5,70.43,71.75,71.1,71.04,71.1,117599820,71.04,71.04,71.04,8354612356.3,8354612356.3,8354612356.3,
591,TQBR,2015-08-04,Сбербанк,SBER,64145,7139565312.9,70.8,70.51,72.43,72.3,71.83,72.3,99409330,71.82,71.82,71.82,7139565312.9,7139565312.9,7139565312.9,
592,TQBR,2015-08-05,Сбербанк,SBER,68218,8289256662.7,72.62,72.33,74.14,73.49,73.35,73.49,113008940,73.35,73.35,73.35,8289256662.7,8289256662.7,8289256662.7,
593,TQBR,2015-08-06,Сбербанк,SBER,77123,7468297854.7,73.21,72.11,73.9,72.25,72.91,72.25,102421110,72.92,72.92,72.92,7468297854.7,7468297854.7,7468297854.7,
594,TQBR,2015-08-07,Сбербанк,SBER,64360,7754793149.1,72.7,72.57,74.4,74.2,73.71,74.2,105214340,73.7,73.7,73.7,7754793149.1,7754793149.1,7754793149.1,
595,TQBR,2015-08-10,Сбербанк,SBER,55019,6277893764.2,74.2,73.5,75.17,75.16,74.45,75.16,84327190,74.45,74.45,74.45,6277893764.2,6277893764.2,6277893764.2,
596,TQBR,2015-08-11,Сбербанк,SBER,67924,8453230352.5,75.16,73.2,75.67,73.2,74.38,73.2,113655080,74.38,74.38,74.38,8453230352.5,8453230352.5,8453230352.5,
597,TQBR,2015-08-12,Сбербанк,SBER,62132,7258774851.6,72.99,72.52,74.2,73.4,73.38,73.4,98910440,73.39,73.39,73.39,7258774851.6,7258774851.6,7258774851.6,
598,TQBR,2015-08-13,Сбербанк,SBER,46198,5705645038.8,73.8,73.12,74.44,73.7,73.78,73.7,77333790,73.78,73.78,73.78,5705645038.8,5705645038.8,5705645038.8,
599,TQBR,2015-08-14,Сбербанк,SBER,51702,5435991639.0,73.65,73.27,74.86,74.43,74.24,74.43,73226070,74.24,74.24,74.24,5435991639.0,5435991639.0,5435991639.0,
