,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
138,TQBR,2019-07-23,МосБиржа,MOEX,9684,377239478.4,92.35,91.5,92.49,91.51,91.85,91.51,4107330,91.85,91.85,91.51,377239478.4,377239478.4,377239478.4,
139,TQBR,2019-07-24,МосБиржа,MOEX,39132,1408853646.0,91.6,89.19,91.6,90.0,90.18,90.0,15625170,90.17,90.17,90.0,1408853646.0,1408853646.0,1408853646.0,
140,TQBR,2019-07-25,МосБиржа,MOEX,19498,745681910.0,90.19,89.87,92.02,92.0,91.54,92.0,8146270,91.54,91.54,92.0,745681910.0,745681910.0,745681910.0,
141,TQBR,2019-07-26,МосБиржа,MOEX,11146,365697466.4,92.0,91.0,92.4,91.14,91.55,91.14,3994380,91.55,91.55,91.14,365697466.4,365697466.4,365697466.4,
142,TQBR,2019-07-29,МосБиржа,MOEX,11020,429046952.7,91.7,91.07,92.5,91.95,91.87,91.95,4670180,91.87,91.87,91.95,429046952.7,429046952.7,429046952.7,
143,TQBR,2019-07-30,МосБиржа,MOEX,13987,494225913.3,92.0,91.87,93.31,93.31,92.89,93.31,5320700,92.89,92.89,93.31,494225913.3,494225913.3,494225913.3,
144,TQBR,2019-07-31,МосБиржа,MOEX,18480,541697951.2,93.44,92.82,93.56,93.16,93.26,93.16,5808450,93.26,93.26,93.16,541697951.2,541697951.2,541697951.2,
145,TQBR,2019-08-01,МосБиржа,MOEX,22657,549187473.9,93.14,92.22,93.75,92.49,92.92,92.49,5911810,92.9,92.9,92.49,549187473.9,549187473.9,549187473.9,
146,TQBR,2019-08-02,МосБиржа,MOEX,21481,646525229.7,91.8,91.4,92.76,92.4,92.25,92.4,7008070,92.25,92.25,92.4,646525229.7,646525229.7,646525229.7,
147,TQBR,2019-08-05,МосБиржа,MOEX,16321,640940580.1,92.04,92.04,93.6,93.5,93.12,93.5,6883260,93.12,93.12,93.5,640940580.1,640940580.1,640940580.1,
148,TQBR,2019-08-06,МосБиржа,MOEX,40792,1742332829.6,93.38,93.08,95.91,94.9,95.02,94.9,18337190,95.02,95.02,94.9,1742332829.6,1742332829.6,1742332829.6,
149,TQBR,2019-08-07,МосБиржа,MOEX,23196,740448112.4,95.1,94.17,95.78,95.4,95.25,95.4,7771120,95.28,95.28,95.4,740448112.4,740448112.4,740448112.4,
150,TQBR,2019-08-08,МосБиржа,MOEX,15867,594134210.6,95.57,95.5,96.75,95.5,96.17,95.5,6177850,96.17,96.17,95.5,594134210.6,594134210.6,594134210.6,
151,TQBR,2019-08-09,МосБиржа,MOEX,15078,552725754.8,95.2,94.15,95.74,94.9,94.92,94.9,5822990,94.92,94.92,94.9,552725754.8,552725754.8,552725754.8,
