,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
49,TQBR,2019-03-15,ГАЗПРОМ ао,GAZP,19014,5133364643.4,152.98,152.11,154.56,154.56,154.01,154.56,33331220,154.01,154.01,154.56,5133364643.4,5133364643.4,5133364643.4,
50,TQBR,2019-03-18,ГАЗПРОМ ао,GAZP,30923,3430685748.6,154.2,153.6,156.48,155.84,155.44,155.84,22071630,155.43,155.43,155.84,3430685748.6,3430685748.6,3430685748.6,
51,TQBR,2019-03-19,ГАЗПРОМ ао,GAZP,24249,2726146665.8,155.84,154.6,156.45,155.5,155.46,155.5,17535580,155.46,155.46,155.5,2726146665.8,2726146665.8,2726146665.8,
52,TQBR,2019-03-20,ГАЗПРОМ ао,GAZP,25117,3120690573.1,155.51,154.0,156.14,156.09,155.28,156.09,20097310,155.28,155.28,156.09,3120690573.1,3120690573.1,3120690573.1,
53,TQBR,2019-03-21,ГАЗПРОМ ао,GAZP,28681,4369903167.6,156.4,154.52,156.7,155.33,155.21,155.33,28155760,155.2,155.2,155.33,4369903167.6,4369903167.6,4369903167.6,
54,TQBR,2019-03-22,ГАЗПРОМ ао,GAZP,30365,3555162974.0,155.02,151.85,155.02,152.29,153.17,152.29,23207060,153.19,153.19,152.29,3555162974.0,3555162974.0,3555162974.0,
55,TQBR,2019-03-25,ГАЗПРОМ ао,GAZP,28599,3418953369.1,151.21,150.72,152.29,152.29,151.68,152.29,22540820,151.68,151.68,152.29,3418953369.1,3418953369.1,3418953369.1,
56,TQBR,2019-03-26,ГАЗПРОМ ао,GAZP,25094,3285234579.0,151.99,150.83,152.91,151.12,151.82,151.12,21637080,151.83,151.83,151.12,3285234579.0,3285234579.0,3285234579.0,
57,TQBR,2019-03-27,ГАЗПРОМ ао,GAZP,33854,3588869005.5,150.88,149.03,151.44,149.49,149.92,149.49,23937950,149.92,149.92,149.49,3588869005.5,3588869005.5,3588869005.5,
58,TQBR,2019-03-28,ГАЗПРОМ ао,GAZP,21801,2458373298.9,149.79,148.83,150.75,149.98,150.01,149.98,16389010,150.0,150.0,149.98,2458373298.9,2458373298.9,2458373298.9,
59,TQBR,2019-03-29,ГАЗПРОМ ао,GAZP,34254,3969752604.3,150.17,149.13,151.64,149.61,150.07,149.61,26452680,150.07,150.07,149.61,3969752604.3,3969752604.3,3969752604.3,
60,TQBR,2019-04-01,ГАЗПРОМ ао,GAZP,43266,5658916234.6,150.28,149.92,154.81,154.53,152.83,154.53,37031090,152.82,152.82,154.53,5658916234.6,5658916234.6,5658916234.6,
61,TQBR,2019-04-02,ГАЗПРОМ ао,GAZP,39736,4793228455.0,154.85,153.3,155.8,155.0,154.69,155.0,30986760,154.69,154.69,155.0,4793228455.0,4793228455.0,4793228455.0,
62,TQBR,2019-04-03,ГАЗПРОМ ао,GAZP,37253,5299170182.9,155.3,155.3,157.58,156.99,156.54,156.99,33850470,156.55,156.55,156.99,5299170182.9,5299170182.9,5299170182.9,
63,TQBR,2019-04-04,ГАЗПРОМ ао,GAZP,28012,3624040916.1,156.75,156.4,158.89,158.89,157.56,158.89,23000460,157.56,157.56,158.89,3624040916.1,3624040916.1,3624040916.1,
64,TQBR,2019-04-05,ГАЗПРОМ ао,GAZP,25904,3635755290.0,158.33,157.87,159.5,158.6,158.84,158.6,22889490,158.84,158.84,158.6,3635755290.0,3635755290.0,3635755290.0,
65,TQBR,2019-04-08,ГАЗПРОМ ао,GAZP,27270,4134870704.4,158.81,158.81,160.88,160.5,160.1,160.5,25829350,160.08,160.08,160.5,4134870704.4,4134870704.4,4134870704.4,
66,TQBR,2019-04-09,ГАЗПРОМ ао,GAZP,42455,6512373930.4,160.41,159.8,163.35,162.7,162.2,162.7,40151930,162.19,162.19,162.7,6512373930.4,6512373930.4,6512373930.4,
67,TQBR,2019-04-10,ГАЗПРОМ ао,GAZP,36433,6383712219.9,162.4,162.12,164.95,162.88,163.85,162.88,38962470,163.84,163.84,162.88,6383712219.9,6383712219.9,6383712219.9,
68,TQBR,2019-04-11,ГАЗПРОМ ао,GAZP,53849,7213314602.7,162.38,158.04,162.95,158.04,160.45,158.04,44982590,160.36,160.36,158.04,7213314602.7,7213314602.7,7213314602.7,
69,TQBR,2019-04-12,ГАЗПРОМ ао,GAZP,32863,4670830850.6,158.51,157.9,160.46,159.12,159.21,159.12,29337220,159.21,159.21,159.12,4670830850.6,4670830850.6,4670830850.6,
70,TQBR,2019-04-15,ГАЗПРОМ ао,GAZP,22213,2928747896.8,160.0,157.62,160.6,158.33,159.28,158.33,18387600,159.28,159.28,158.33,2928747896.8,2928747896.8,2928747896.8,
71,TQBR,2019-04-16,ГАЗПРОМ ао,GAZP,35188,4383134259.0,158.99,158.21,163.42,162.24,160.66,162.24,27281030,160.67,160.67,162.24,4383134259.0,4383134259.0,4383134259.0,
72,TQBR,2019-04-17,ГАЗПРОМ ао,GAZP,35525,4668764495.8,163.4,162.4,165.4,164.0,163.94,164.0,28490270,163.87,163.87,164.0,4668764495.8,4668764495.8,4668764495.8,
73,TQBR,2019-04-18,ГАЗПРОМ ао,GAZP,24757,3185103113.9,163.75,160.85,163.79,161.79,162.09,161.79,19650680,162.09,162.09,161.79,3185103113.9,3185103113.9,3185103113.9,
74,TQBR,2019-04-19,ГАЗПРОМ ао,GAZP,7024,624458335.2,161.95,161.5,162.57,162.57,162.03,162.57,3853890,162.03,162.03,162.57,624458335.2,624458335.2,624458335.2,
75,TQBR,2019-04-22,ГАЗПРОМ ао,GAZP,13265,1463531014.8,163.21,162.76,164.34,163.5,163.55,163.5,8947560,163.57,163.57,163.5,1463531014.8,1463531014.8,1463531014.8,
76,TQBR,2019-04-23,ГАЗПРОМ ао,GAZP,18364,2462870170.4,163.5,160.91,163.85,162.42,162.41,162.42,15162420,162.43,162.43,162.42,2462870170.4,2462870170.4,2462870170.4,
77,TQBR,2019-04-24,ГАЗПРОМ ао,GAZP,29927,4141433978.1,162.91,159.18,163.07,160.57,160.74,160.57,25761060,160.76,160.76,160.57,4141433978.1,4141433978.1,4141433978.1,
